ID,Title,Summary,Image Path,PDF Path
48,The Future of Investment Management,"The Fundamental Law of Active Management: Information Ratios Depend on Skill, ... Bibliography 72 ... Trend 1. Active to Passive 74 Trend 2. Increased Competition 78 Trend 3.",https://cfapublications.s3.amazonaws.com/assignment3/images/The Future of Investment Management.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Future of Investment Management.pdf
49,Some Like It Hedged,"Some Like It Hedged ... Hedge passively (i.e., maintain a constant hedge ratio). ... An active hedging program seeks to reduce the risk of the foreign currency exposure ... Additional Formats",https://cfapublications.s3.amazonaws.com/assignment3/images/Some Like It Hedged.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Some Like It Hedged.pdf
50,Mainstreaming Sustainable Investing,"Both are wrong. ... This research is part of the growing body of work collected over the last five years ... Feiner, a founding partner and head of ESG research and advisory at Arabesque Asset ...",https://cfapublications.s3.amazonaws.com/assignment3/images/Mainstreaming Sustainable Investing.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Mainstreaming Sustainable Investing.pdf
51,Foundations of High-Yield Analysis,"27 August 2018 Research Foundation Foundations of High-Yield Analysis Martin S. Fridson, CFA This Research Foundation brief explores various dimensions of the high-yield bond ...",https://cfapublications.s3.amazonaws.com/assignment3/images/Foundations of High-Yield Analysis.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Foundations of High-Yield Analysis.pdf
52,The Current State of Quantitative Equity Investing,"Indeed, in 2011, the president of the American Finance Association described the ... In short, quantitative equity management is alive and well and intellectually active ... Additional Formats",https://cfapublications.s3.amazonaws.com/assignment3/images/The Current State of Quantitative Equity Investing.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Current State of Quantitative Equity Investing.pdf
53,Risk Profiling and Tolerance: Insights for the Private Wealth Manager,"1 June 2018 Research Foundation Risk Profiling and Tolerance: Insights for the Private Wealth Manager Joachim Klement, CFP, CFA",https://cfapublications.s3.amazonaws.com/assignment3/images/Risk Profiling and Tolerance_ Insights for the Private Wealth Manager.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Risk Profiling and Tolerance_ Insights for the Private Wealth Manager.pdf
54,Risk Tolerance and Circumstances,"In Europe, the Markets in Financial Instruments Directive (MiFID) requires financial advisers ... 35, 4). ... The survey allowed the authors to measure risk preferences and perceptions in real ...",https://cfapublications.s3.amazonaws.com/assignment3/images/Risk Tolerance and Circumstances.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Risk Tolerance and Circumstances.pdf
55,Research Foundation Review 2017,1 March 2018 Research Foundation Research Foundation Review 2017 CFA Institute Research Foundation Research Foundation Review 2017 View the full book (PDF),https://cfapublications.s3.amazonaws.com/assignment3/images/Research Foundation Review 2017.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Research Foundation Review 2017.pdf
56,Alternative Investments: A Primer for Investment Professionals,Learn about alternative investments with CFA Institute. Understand how alternative investing strategies compare to traditional investing and portfolio management.,https://cfapublications.s3.amazonaws.com/assignment3/images/Alternative Investments_ A Primer for Investment Professionals.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Alternative Investments_ A Primer for Investment Professionals.pdf
57,Handbook on Sustainable Investments: Background Information and Practical Examples for Institutional Asset Owners,1 December 2017 Research Foundation Handbook on Sustainable Investments: Background Information and Practical Examples for ... Swiss Sustainable Finance ... Additional Formats,https://cfapublications.s3.amazonaws.com/assignment3/images/Handbook on Sustainable Investments_ Background Information and Practical Examples for Institutional Asset Owners.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Handbook on Sustainable Investments_ Background Information and Practical Examples for Institutional Asset Owners.pdf
58,"Equity Valuation: Science, Art, or Craft?",Caroline Jonas ... The authors point to the limits of widely used valuation techniques. ... Additional Formats ... Publisher Information The CFA Institute Research Foundation 103 pages,https://cfapublications.s3.amazonaws.com/assignment3/images/Equity Valuation_ Science_ Art_ or Craft_.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Equity Valuation_ Science_ Art_ or Craft_.pdf
59,The Equity Risk Premium: A Contextual Literature Review,1 November 2017 Research Foundation The Equity Risk Premium: A Contextual Literature Review Laurence B. Siegel ... Publisher Information CFA Institute Research Foundation 30 pages,https://cfapublications.s3.amazonaws.com/assignment3/images/The Equity Risk Premium_ A Contextual Literature Review.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Equity Risk Premium_ A Contextual Literature Review.pdf
60,A Primer For Investment Trustees: Understanding Investment Committee Responsibilities,"1 October 2017 Research Foundation A Primer For Investment Trustees: Understanding Investment Committee Responsibilities Jeffery V. Bailey, CFA Thomas M. Richards, CFA",https://cfapublications.s3.amazonaws.com/assignment3/images/A Primer For Investment Trustees_ Understanding Investment Committee Responsibilities.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/A Primer For Investment Trustees_ Understanding Investment Committee Responsibilities.pdf
61,New Vistas in Risk Profiling,"What is important is that there is a crucial distinction to be made between ... In the end, the role of suitability is to steer investors to better outcomes, not ... Ability to Take Risk",https://cfapublications.s3.amazonaws.com/assignment3/images/New Vistas in Risk Profiling.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/New Vistas in Risk Profiling.pdf
62,Asian Structured Products,"These transactions are almost never disclosed to third parties; thus, this multi- ... Although the products themselves are quite visible, it is impossible to know exactly how ... 3. Leverage",https://cfapublications.s3.amazonaws.com/assignment3/images/Asian Structured Products.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Asian Structured Products.pdf
63,"FinTech and RegTech in a Nutshell, and the Future in a Sandbox",Learn about FinTech and RegTech with CFA Institute. Understand how financial and regulatory technology relate through industry regulations and sandboxes.,https://cfapublications.s3.amazonaws.com/assignment3/images/FinTech and RegTech in a Nutshell_ and the Future in a Sandbox.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/FinTech and RegTech in a Nutshell_ and the Future in a Sandbox.pdf
64,Financial Risk Tolerance: A Psychometric Review,"John E. Grable ... Generally, it is easier to measure cognitive, rather than affective, aspects of human ... For instance, on a cognitive test, not all questions are equally difficult.",https://cfapublications.s3.amazonaws.com/assignment3/images/Financial Risk Tolerance_ A Psychometric Review.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Financial Risk Tolerance_ A Psychometric Review.pdf
65,投资管理人的选择,"1 June 2017 Research Foundation 投资管理人的选择 The Importance of Manager Selection Scott D. Stewart, CFA 投资管理人的选择 - The Importance of Manager Selection View the full book (PDF)",https://cfapublications.s3.amazonaws.com/assignment3/images/投资管理人的选择.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/投资管理人的选择.pdf
66,Research Foundation Review 2016,1 May 2017 Research Foundation Research Foundation Review 2016 CFA Institute Research Foundation Review 2016 View this book (PDF) The Research Foundation Review 2016 summarizes the ...,https://cfapublications.s3.amazonaws.com/assignment3/images/Research Foundation Review 2016.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Research Foundation Review 2016.pdf
67,Impact of Reporting Frequency on UK Public Companies,"Before 2007, UK companies were also encouraged by regulators to issue “trading ... 2 ... Instead, the IMS was to contain the following: ... (European Parliament and Council 2004, Art. 6.1)",https://cfapublications.s3.amazonaws.com/assignment3/images/Impact of Reporting Frequency on UK Public Companies.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Impact of Reporting Frequency on UK Public Companies.pdf
68,Factor Investing and Asset Allocation,This monograph draws heavily on the vast body of knowledge that has been built by ... Additional Formats ... The CFA Institute Research Foundation 172 pages ISSN/ISBN: 978-1-944960-14-8,https://cfapublications.s3.amazonaws.com/assignment3/images/Factor Investing and Asset Allocation.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Factor Investing and Asset Allocation.pdf
69,Financial Market History: Reflections on the Past for Investors Today,"1 December 2016 Research Foundation Financial Market History: Reflections on the Past for Investors Today David Chambers Elroy Dimson, FSIP, PhD ... Additional Formats",https://cfapublications.s3.amazonaws.com/assignment3/images/Financial Market History_ Reflections on the Past for Investors Today.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Financial Market History_ Reflections on the Past for Investors Today.pdf
70,Technical Analysis: Modern Perspectives,"1 November 2016 Research Foundation Technical Analysis: Modern Perspectives Gordon Scott, CMT Michael Carr, CMT Mark Cremonie, CMT, CFA",https://cfapublications.s3.amazonaws.com/assignment3/images/Technical Analysis_ Modern Perspectives.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Technical Analysis_ Modern Perspectives.pdf
71,Gender Diversity in Investment Management: New Research for Practitioners on How to Close the Gender Gap,"We drew some questions from surveys conducted of the general population, which then ... Footnote(s) ... Delaware Journal of Corporate Law, vol 39, no. 2 (2014): www.djcl.org/volume-39/2014-%e2 ...",https://cfapublications.s3.amazonaws.com/assignment3/images/Gender Diversity in Investment Management_ New Research for Practitioners on How to Close the Gender Gap.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Gender Diversity in Investment Management_ New Research for Practitioners on How to Close the Gender Gap.pdf
72,Portfolio Structuring and the Value of Forecasting,"This brief offers analysis of factor investing reviews types of factors and risk premiums as well as the value of forecasting, including issues with accuracy and improving efficiency.",https://cfapublications.s3.amazonaws.com/assignment3/images/Portfolio Structuring and the Value of Forecasting.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Portfolio Structuring and the Value of Forecasting.pdf
73,Let’s All Learn How to Fish . . . . to Sustain Long-Term Economic Growth,"Today’s economic growth challenges will become greater in the future because of the world’s aging population, fertility trends and current levels, and current entitlement policies.",https://cfapublications.s3.amazonaws.com/assignment3/images/Let_s All Learn How to Fish . . . . to Sustain Long-Term Economic Growth.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Let_s All Learn How to Fish . . . . to Sustain Long-Term Economic Growth.pdf
74,Overcoming the Notion of a Single Reference Currency: A Currency Basket Approach,"G. Ballocchi,C. Kutscher,G. Schwarz 2016 Die statistische Evaluation von ... Risk Management for Central Bank Foreign Reserves European Central Bank ... Publisher Information",https://cfapublications.s3.amazonaws.com/assignment3/images/Overcoming the Notion of a Single Reference Currency_ A Currency Basket Approach.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Overcoming the Notion of a Single Reference Currency_ A Currency Basket Approach.pdf
75,Research Foundation Review 2015,"The Research Foundation Review 2015 summarizes the offerings from the CFA Institute Research Foundation over the past year—monographs, literature reviews, workshop presentations, and other relevant material.",https://cfapublications.s3.amazonaws.com/assignment3/images/Research Foundation Review 2015.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Research Foundation Review 2015.pdf
76,Risk Profiling through a Behavioral Finance Lens,"Behavioral finance attempts to understand and explain actual investor behavior rather than theorize about it. In this context, tensions exist between the willingness to take risk and the ability to take risk in terms of known and unknown risks.",https://cfapublications.s3.amazonaws.com/assignment3/images/Risk Profiling through a Behavioral Finance Lens.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Risk Profiling through a Behavioral Finance Lens.pdf
77,Annuities and Retirement Income Planning,"That said, cost matters—a lot. The prudent investor should thoroughly investigate the myriad of implicit and ... 16 The death benefit is adjusted for aggregate withdrawals before death.",https://cfapublications.s3.amazonaws.com/assignment3/images/Annuities and Retirement Income Planning.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Annuities and Retirement Income Planning.pdf
78,Longevity Risk and Retirement Income Planning,The past 50 years have seen an abundance of research on retirement planning and longevity risk. Reviewed here is the academic side of the research and its varied viewpoints and nuances.,https://cfapublications.s3.amazonaws.com/assignment3/images/Longevity Risk and Retirement Income Planning.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Longevity Risk and Retirement Income Planning.pdf
79,The Industrial Organization of the Global Asset Management Business,The dynamics of the asset management business are complex and geographically diverse. Products and vendors compete within and across markets and often shade into each other.,https://cfapublications.s3.amazonaws.com/assignment3/images/The Industrial Organization of the Global Asset Management Business.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Industrial Organization of the Global Asset Management Business.pdf
80,Trading and Electronic Markets: What Investment Professionals Need to Know,"The true meaning of investment discipline is to trade only when you rationally expect that you will achieve your desired objective. Accordingly, managers must thoroughly understand why they trade.",https://cfapublications.s3.amazonaws.com/assignment3/images/Trading and Electronic Markets_ What Investment Professionals Need to Know.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Trading and Electronic Markets_ What Investment Professionals Need to Know.pdf
81,A Comprehensive Guide to Exchange-Traded Funds (ETFs),Exchange-traded funds (ETFs) have become in their 25-year history one of the fastest growing segments of the investment management business.,https://cfapublications.s3.amazonaws.com/assignment3/images/A Comprehensive Guide to Exchange-Traded Funds (ETFs).jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/A Comprehensive Guide to Exchange-Traded Funds (ETFs).pdf
82,Research Foundation Year in Review 2014,"The Year in Review 2014 summarizes the offerings from the CFA Institute Research Foundation over the past year—monographs, literature reviews, workshop presentations, and other relevant material.",https://cfapublications.s3.amazonaws.com/assignment3/images/Research Foundation Year in Review 2014.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Research Foundation Year in Review 2014.pdf
83,Investor Risk Profiling: An Overview,"Gau, J., S. Segaller, and P. Sen 2012 Steve Jobs: The Lost Interview ... Kahnemann, D. 2012 Thinking, Fast and Slow Penguin ... Quarterly Journal of Economics Vol. 126 No. 1 43",https://cfapublications.s3.amazonaws.com/assignment3/images/Investor Risk Profiling_ An Overview.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Investor Risk Profiling_ An Overview.pdf
84,"The New Economics of Liquidity and Financial
 Frictions",The New Economics of Liquidity and Financial Frictions is a book about a new branch of economics that is largely a synthesis of macro and finance.,https://cfapublications.s3.amazonaws.com/assignment3/images/The New Economics of Liquidity and Financial_ Frictions.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The New Economics of Liquidity and Financial_ Frictions.pdf
85,"Islamic Finance: Ethics, Concepts, Practice","Islamic economic thought and finance are rooted in Islamic ethics, but their ideals and means are not exclusive to Islam. The principles of Islamic finance emphasize market-based risk sharing of financing that promotes asset and enterprise,",https://cfapublications.s3.amazonaws.com/assignment3/images/Islamic Finance_ Ethics_ Concepts_ Practice.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Islamic Finance_ Ethics_ Concepts_ Practice.pdf
86,Investment Professionals and Fiduciary Duties,"Learn about the fiduciary duties of various investment professionals with CFA Institute. Understand the roles of investment advisers, asset managers, brokers, CFA charterholders & more.",https://cfapublications.s3.amazonaws.com/assignment3/images/Investment Professionals and Fiduciary Duties.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Investment Professionals and Fiduciary Duties.pdf
87,Investment Management: A Science to Teach or an Art to Learn?,"Following the 2007–09 financial crisis, mainstream finance theory was criticized for failing to forecast the market crash, which resulted in large losses for investors.",https://cfapublications.s3.amazonaws.com/assignment3/images/Investment Management_ A Science to Teach or an Art to Learn_.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Investment Management_ A Science to Teach or an Art to Learn_.pdf
88,The Principal–Agent Problem in Finance,This review tracks the development of asset/liability management from its roots in liability management outsourcing to its most recent interpretation as a broad liability-driven investing strategy.,https://cfapublications.s3.amazonaws.com/assignment3/images/The Principal_Agent Problem in Finance.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Principal_Agent Problem in Finance.pdf
89,Research Foundation Year in Review 2013,1 March 2014 Research Foundation Research Foundation Year in Review 2013 CFA Institute Research Foundation Research Foundation Year in Review 2013 View the full book (PDF),https://cfapublications.s3.amazonaws.com/assignment3/images/Research Foundation Year in Review 2013.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Research Foundation Year in Review 2013.pdf
90,Environmental Markets: A New Asset Class,"Population growth, industrialization, and urbanization in the past 200 years have resulted in local, national, and global pollution of our environment. Markets, when designed properly, can be a powerful agent to combat this pollution.",https://cfapublications.s3.amazonaws.com/assignment3/images/Environmental Markets_ A New Asset Class.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Environmental Markets_ A New Asset Class.pdf
91,Manager Selection,Manager selection is a critical step in implementing any investment program.,https://cfapublications.s3.amazonaws.com/assignment3/images/Manager Selection.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Manager Selection.pdf
92,Errata,"This material provides a correction to Chapter 4 “Option Characteristics and Strategies: Risk and Return” in Fundamentals of Futures and Options by Roger G. Clarke, Harindra de Silva, CFA, and Steven Thorley, CFA.",https://cfapublications.s3.amazonaws.com/assignment3/images/Errata.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Errata.pdf
93,Fundamentals of Futures and Options (corrected April 2014),"Derivative securities and markets have experienced tremendous worldwide growth since 1970. But even so, they are not always well understood.",https://cfapublications.s3.amazonaws.com/assignment3/images/Fundamentals of Futures and Options (corrected April 2014).jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Fundamentals of Futures and Options (corrected April 2014).pdf
94,Ethics and Financial Markets: The Role of the Analyst,"The ethical issues that financial professionals face are no different from the ethical issues in any profession—or, indeed, the day-to-day dilemmas we all face.",https://cfapublications.s3.amazonaws.com/assignment3/images/Ethics and Financial Markets_ The Role of the Analyst.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Ethics and Financial Markets_ The Role of the Analyst.pdf
95,Research Foundation Year in Review 2012,"The Year in Review 2013 summarizes the offerings from the CFA Institute Research Foundation over the past year—monographs, literature reviews, workshop presentations, and other relevant material.",https://cfapublications.s3.amazonaws.com/assignment3/images/Research Foundation Year in Review 2012.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Research Foundation Year in Review 2012.pdf
96,Life Annuities: An Optimal Product for Retirement Income,"This book provides a summary of research on life annuities, longevity insurance, and their role in the “optimal” retirement portfolio.",https://cfapublications.s3.amazonaws.com/assignment3/images/Life Annuities_ An Optimal Product for Retirement Income.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Life Annuities_ An Optimal Product for Retirement Income.pdf
97,The Evolution of Asset/Liability Management,This review tracks the development of asset/liability management from its roots in liability management outsourcing to its most recent interpretation as a broad liability-driven investing strategy.,https://cfapublications.s3.amazonaws.com/assignment3/images/The Evolution of Asset_Liability Management.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Evolution of Asset_Liability Management.pdf
98,A New Look at Currency Investing,The authors of this book examine the rationale for investing in currency. They highlight several features of currency returns that make currency an attractive asset class for institutional investors.,https://cfapublications.s3.amazonaws.com/assignment3/images/A New Look at Currency Investing.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/A New Look at Currency Investing.pdf
99,"Life-Cycle Investing: Financial Education and Consumer
 Protection (corrected January 2013)","Third in the series of Boston University–sponsored conferences titled “The Future of Life-Cycle Saving and Investing,” the May 2011 conference again brought together academic researchers, educators, advisers, and regulators.",https://cfapublications.s3.amazonaws.com/assignment3/images/Life-Cycle Investing_ Financial Education and Consumer_ Protection (corrected January 2013).jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Life-Cycle Investing_ Financial Education and Consumer_ Protection (corrected January 2013).pdf
100,Latin American Local Capital Markets,"Challenges that need to be tackled in Chile include the dominance of pension funds ... Governmental and private sector initiatives are needed to improve this scenario. ... Mauro Miranda, CFA",https://cfapublications.s3.amazonaws.com/assignment3/images/Latin American Local Capital Markets.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Latin American Local Capital Markets.pdf
